intended_num_agents,intended_recipe,intention,model_num_agents,model_recipe,model_run,design_congruent,seed,timesteps,agent_pauses,agent_collisions,was_successful
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,1,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,2,28,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,3,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,4,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,5,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,6,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,7,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,8,44,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,9,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,10,44,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,11,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,12,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,13,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,14,28,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,15,28,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,16,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,17,30,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,18,44,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,19,44,0,0,True
1agent,onion,1agent-onion,1agent,onion,1agent-onion,congruent,20,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,1,44,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,2,44,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,3,44,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,4,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,5,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,6,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,7,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,8,44,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,9,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,10,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,11,44,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,12,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,13,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,14,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,15,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,16,44,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,17,30,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,18,44,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,19,44,0,0,True
1agent,onion,1agent-onion,1agent,tomato,1agent-tomato,incongruent,20,44,0,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,1,24,7,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,2,27,12,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,3,29,8,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,4,27,9,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,5,31,12,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,6,24,9,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,7,26,9,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,8,27,11,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,9,23,8,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,10,27,8,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,11,25,5,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,12,29,11,0,True
1agent,onion,1agent-onion,2agent,onion,2agent-onion,incongruent,13,25,7,0,True
